Date,years_since_halving,realized_vol_30,dxy_ret_30,dxy_ret_100,short_percent_r,long_percent_r,wr_composite,log_price_residual,log_price_residual_target
2015-01-06,2.105407255304586,0.18139668790904975,0.242919301966355,0.684259767878965,0.2025758653418672,0.1357177185777459,0.6891995503634977,-1.3943649785743526,-1.3943649785743526
2015-01-07,2.108145106091718,0.1989243383732557,0.32008068787251,0.7360676856307811,0.268630379469329,0.1599102536467594,0.6144161190020772,-1.365032287702495,-1.365032287702495
2015-01-08,2.11088295687885,0.21742909723446477,0.414928425287508,0.7481964303596279,0.283255445882622,0.1444650328248701,0.6132000285797641,-1.4016769992943765,-1.4016769992943765
2015-01-09,2.113620807665982,0.2459772502661647,0.41577046991177097,0.694428421069444,0.3166551054757899,0.1544358140630612,0.577811969452527,-1.37576406751087,-1.37576406751087
2015-01-10,2.116358658453114,0.30964349321277096,0.369952475052584,0.7406546822780451,0.2920956924520738,0.120289657100718,0.6227507411328649,-1.429510363687549,-1.429510363687549
2015-01-11,2.1190965092402463,0.32281771571496753,0.40516091062988,0.605606165895364,0.2446453486180529,0.0803171874535368,0.6946866902530022,-1.4616863071188213,-1.4616863071188213
2015-01-12,2.1218343600273784,0.33098826868091286,0.40968794947676,0.610220413721045,0.2158449649387233,0.0656848120487598,0.7326479589661881,-1.4520763223196989,-1.4520763223196989
2015-01-13,2.1245722108145104,1.011468962796113,0.44703450893587204,0.648286418146784,0.1748479484947832,0.0453957648599032,0.7876936430014193,-1.6201434057517954,-1.6201434057517954
2015-01-14,2.127310061601643,2.02907796873524,0.418268665603702,0.752538169004042,0.1414430664867229,0.0342409408249574,0.829159136357992,-1.8545762073540688,-1.8545762073540688
2015-01-15,2.130047912388775,2.585834348699972,0.478838233543625,0.7797362493229549,0.1660113799094119,0.0842358110197794,0.7637369122959907,-1.6880733872166012,-1.6880733872166012
2015-01-16,2.132785763175907,2.5854224583188974,0.38034326198954604,0.846423602930903,0.1826196680274898,0.1061746010576004,0.7305953013129999,-1.693908568667629,-1.693908568667629
2015-01-17,2.135523613963039,2.5966418897587444,0.367548056680144,0.8185220152914401,0.1835486009977023,0.1016721265225626,0.7334410490634128,-1.7346221555985035,-1.7346221555985035
2015-01-18,2.138261464750171,2.6529924403470395,0.32589265833399395,0.769408997694218,0.2028436048763363,0.1188180702823453,0.7024398105418391,-1.6780416702222292,-1.6780416702222292
2015-01-19,2.1409993155373037,2.6303587599310165,0.32589265833399395,0.769408997694218,0.2249059066729648,0.13530815913514,0.6702175384024336,-1.6543867219695887,-1.6543867219695887
2015-01-20,2.143737166324436,2.6273295517398347,0.38504516031137603,0.8311022099045171,0.2354999892105146,0.1373448681867208,0.6594998575788568,-1.668588293088206,-1.668588293088206
2015-01-21,2.1464750171115674,2.706323884556604,0.34866937728177294,0.87440023340964,0.2696030136168109,0.1656442603420387,0.6094109178176916,-1.5952739130829017,-1.5952739130829017
2015-01-22,2.1492128678986995,2.7259787984790513,0.46413506756495604,0.9811230714153809,0.3094156643164295,0.1911899478744808,0.5585515525412956,-1.5649334290181374,-1.5649334290181374
2015-01-23,2.1519507186858315,2.7172018991330824,0.5590751040402799,1.15678194922022,0.3388721832774678,0.2030401035423526,0.5268923563604597,-1.5651335560240396,-1.5651335560240396
2015-01-24,2.154688569472964,2.7988629358379957,0.5590751040402799,1.176470588235294,0.4041356761513569,0.2351712277964385,0.4557341792090629,-1.501017065442622,-1.501017065442622
2015-01-25,2.157426420260096,2.794441690794825,0.5520383525592161,1.151543288819727,0.4646182248509602,0.2615157672266581,0.3953709994617684,-1.4758726084563056,-1.4758726084563056
2015-01-26,2.160164271047228,2.883274243096342,0.529823873946093,1.128066713809676,0.5333480402167268,0.3092751624693989,0.322328099104638,-1.3994421945059816,-1.3994421945059816
2015-01-27,2.16290212183436,2.897277836803775,0.443185373527637,1.036505921893056,0.5667665572040806,0.3156503410883581,0.2964831588065036,-1.4351009418462155,-1.4351009418462155
2015-01-28,2.1656399726214923,3.082541063115206,0.474553571730689,1.120659754497841,0.5382307614221814,0.2670841257453716,0.3384380051961559,-1.5520801331954504,-1.5520801331954504
2015-01-29,2.1683778234086244,3.083288892245685,0.53228147896821,1.110069334394108,0.5161000012772193,0.2420972072582256,0.3667491604397365,-1.5517774151954846,-1.5517774151954846
2015-01-30,2.1711156741957565,3.065056784698814,0.501828578392811,1.056683626512742,0.4866496221471048,0.217194049921041,0.4018537302585282,-1.580470235423694,-1.580470235423694
2015-01-31,2.1738535249828885,3.076389076761938,0.501828578392811,1.04380324978091,0.448313310151833,0.1890535143313343,0.4473883823225501,-1.6185764607257749,-1.6185764607257749
2015-02-01,2.1765913757700206,3.1171302835769916,0.408432273376915,1.057972627979682,0.4368014460609681,0.1916298884118379,0.4552728778939867,-1.573672290316881,-1.573672290316881
2015-02-02,2.1793292265571527,2.9983234594285104,0.375493862559326,1.022978688867286,0.4485793064034195,0.2126268887877832,0.4341738271039381,-1.5233388833518564,-1.5233388833518564
2015-02-03,2.1820670773442847,2.9762520220834974,0.276679467765139,0.917997761462936,0.4375376746701295,0.2039348229740097,0.4477566705841734,-1.5683457593479817,-1.5683457593479817
2015-02-04,2.184804928131417,2.947333091677426,0.28562056126062396,0.992982206288832,0.4224190968708647,0.1988621912224042,0.4627218991246602,-1.5680766508046204,-1.5680766508046204
2015-02-05,2.187542778918549,2.929770937678702,0.34972644243084205,1.08769381662656,0.3660078030204656,0.1792695298208798,0.5203367139169066,-1.6097181440118469,-1.6097181440118469
2015-02-06,2.190280629705681,2.924842903559601,0.30580014988119597,1.018033776693341,0.3349177856212186,0.17849862110339,0.5463659561917796,-1.584091671167088,-1.584091671167088
2015-02-07,2.193018480492813,2.9276894084392944,0.25224576511624697,0.9924544713786141,0.3235433579477043,0.1877215668876888,0.5494711412746544,-1.557634853374255,-1.557634853374255
2015-02-08,2.195756331279945,2.9133622897026137,0.300195174412238,0.900092074360257,0.2864520762068266,0.1847310548009161,0.5817334631798566,-1.574752845338307,-1.574752845338307
2015-02-09,2.198494182067077,2.879891951429718,0.273003528408168,0.8713167511669571,0.2507137017654875,0.177454638745867,0.6163219688640791,-1.5874638661671572,-1.5874638661671572
2015-02-10,2.2012320328542097,2.869173077896748,0.306721733732979,0.906998749070806,0.2100043692396555,0.1733419695269972,0.6530562322066239,-1.5865178724191535,-1.5865178724191535
2015-02-11,2.2039698836413417,2.8661163464228827,0.327244444116343,0.879624386659925,0.1759126216037239,0.1701405965660839,0.6838766602133536,-1.5873141868826617,-1.5873141868826617
2015-02-12,2.206707734428474,2.420739470738728,0.19282838548088901,0.817428455570443,0.1569655537376121,0.1730552525202448,0.6971429072811857,-1.5734816209089368,-1.5734816209089368
2015-02-13,2.209445585215606,1.3541086202155348,0.221353429369659,0.7731009055455871,0.1778357043222769,0.1984338131004817,0.6590190994913206,-1.5117818514626924,-1.5117818514626924
2015-02-14,2.212183436002738,0.933611841826202,0.200324689192012,0.7033285605913581,0.2497023374059682,0.2494552297958418,0.5631319867563546,-1.4212723478011977,-1.4212723478011977
2015-02-15,2.21492128678987,1.1579534559522737,0.181582400143947,0.748516385700546,0.2458426127903399,0.2355798086424386,0.576493134244527,-1.5108429969160009,-1.5108429969160009
2015-02-16,2.217659137577002,1.104953794450986,0.181582400143947,0.748516385700546,0.2703663562726316,0.2269228174108823,0.5640631216149858,-1.513110005069076,-1.513110005069076
2015-02-17,2.220396988364134,1.0780652755452464,0.166450602183714,0.732542014337762,0.347652787860932,0.2396944267482706,0.4959832210845615,-1.4704201988004932,-1.4704201988004932
2015-02-18,2.223134839151266,1.0993722571916558,0.181582400143947,0.7277075011173451,0.3741389480996243,0.2333273771294999,0.4798305342129512,-1.4989002597776278,-1.4989002597776278
