Date,mvrv,hash_rate,adr_act_cnt,tx_cnt
2009-05-12,,6.4623350518e-06,130,0
2009-05-13,,5.5178399288e-06,117,5
2009-05-14,,6.9097274785e-06,145,3
2009-05-15,,6.7605966696e-06,147,1
2009-05-16,,5.9155220859e-06,119,0
2009-05-17,,6.3132042429e-06,127,0
2009-05-18,,5.8658118162e-06,118,0
2009-05-19,,4.2750831881e-06,86,0
2009-05-20,,5.9652323555e-06,120,0
2009-05-21,,4.0762421096e-06,82,0
2009-05-22,,3.0323264474e-06,61,0
2009-05-23,,1.5907286281e-06,32,0
2009-05-24,,4.9710269629e-06,100,0
2009-05-25,,5.4184193896e-06,109,0
2009-05-26,,6.2137837037e-06,125,0
2009-05-27,,5.9155220859e-06,119,0
2009-05-28,,4.7224756148e-06,95,0
2009-05-29,,5.2692885807e-06,167,1
2009-05-30,,5.4184193896e-06,109,0
2009-05-31,,4.7721858844e-06,96,0
2009-06-01,,3.5294291437e-06,73,1
2009-06-02,,5.5178399288e-06,111,0
2009-06-03,,3.5294291437e-06,71,0
2009-06-04,,3.2808777955e-06,66,0
2009-06-05,,1.4913080888e-06,30,0
2009-06-06,,1.3918875496e-06,28,0
2009-06-07,,7.95364314e-07,16,0
2009-06-08,,4.0762421096e-06,82,0
2009-06-09,,4.5236345362e-06,91,0
2009-06-10,,4.0762421096e-06,82,0
2009-06-11,,4.424213997e-06,89,0
2009-06-12,,4.2750831881e-06,86,0
2009-06-13,,3.8774010311e-06,78,0
2009-06-14,,3.5791394133e-06,72,0
2009-06-15,,4.1756626488e-06,84,0
2009-06-16,,3.5294291437e-06,71,0
2009-06-17,,3.9271113007e-06,79,0
2009-06-18,,3.9768215703e-06,80,0
2009-06-19,,4.3247934577e-06,87,0
2009-06-20,,3.8774010311e-06,78,0
2009-06-21,,4.02653184e-06,81,0
2009-06-22,,3.7779804918e-06,137,1
2009-06-23,,3.7779804918e-06,76,0
2009-06-24,,4.7224756148e-06,100,2
2009-06-25,,3.3802983348e-06,89,1
2009-06-26,,4.4739242666e-06,90,0
2009-06-27,,4.1756626488e-06,84,0
2009-06-28,,2.2866724029e-06,48,1
2009-06-29,,4.1259523792e-06,87,2
2009-06-30,,4.2253729185e-06,85,0
2009-07-01,,3.6785599525e-06,77,1
2009-07-02,,4.1259523792e-06,85,1
2009-07-03,,4.0762421096e-06,82,0
2009-07-04,,4.424213997e-06,89,0
2009-07-05,,3.9271113007e-06,79,0
2009-07-06,,4.1756626488e-06,84,0
2009-07-07,,3.4300086044e-06,69,0
2009-07-08,,3.6785599525e-06,74,0
2009-07-09,,4.2750831881e-06,86,0
2009-07-10,,4.02653184e-06,81,0
2009-07-11,,4.1259523792e-06,83,0
2009-07-12,,3.8276907614e-06,77,0
2009-07-13,,3.8774010311e-06,78,0
2009-07-14,,3.4300086044e-06,69,0
2009-07-15,,2.2369621333e-06,45,0
2009-07-16,,3.5294291437e-06,71,0
2009-07-17,,2.3363826725e-06,47,0
2009-07-18,,1.988410785e-07,4,0
2009-07-19,,3.479718874e-06,70,0
2009-07-20,,3.479718874e-06,192,1
2009-07-21,,4.0762421096e-06,82,0
2009-07-22,,2.9826161777e-06,60,0
2009-07-23,,3.7779804918e-06,76,0
2009-07-24,,3.6288496829e-06,73,0
2009-07-25,,1.5907286281e-06,32,0
2009-07-26,,1.0439156622e-06,21,0
2009-07-27,,3.6785599525e-06,74,0
2009-07-28,,2.0381210548e-06,41,0
2009-07-29,,9.444951229e-07,22,1
2009-07-30,,7.456540444e-07,17,1
